"Substrate","ChEBI","TCNumber","InChI"
"(-)-quinate","CHEBI:29751","2.A.1.1.7","InChI=1S/C7H12O6/c8-3-1-7(13,6(11)12)2-4(9)5(3)10/h3-5,8-10,13H,1-2H2,(H,11,12)/p-1/t3-,4-,5-,7+/m1/s1"
"(+)-(1S,2S)-norcoronamic acid","CHEBI:87174","2.A.76.2.2","InChI=1S/C5H9NO2/c1-3-2-5(3,6)4(7)8/h3H,2,6H2,1H3,(H,7,8)/t3-,5-/m0/s1"
"(+)-(1S,2S)-norcoronamic acid","CHEBI:87174","2.A.76.2.3","InChI=1S/C5H9NO2/c1-3-2-5(3,6)4(7)8/h3H,2,6H2,1H3,(H,7,8)/t3-,5-/m0/s1"
"(+)-(1S,2S)-norcoronamic acid","CHEBI:87174","2.A.76.2.1","InChI=1S/C5H9NO2/c1-3-2-5(3,6)4(7)8/h3H,2,6H2,1H3,(H,7,8)/t3-,5-/m0/s1"
"(+)-abscisic acid","CHEBI:2365","2.A.17.3.16","InChI=1S/C15H20O4/c1-10(7-13(17)18)5-6-15(19)11(2)8-12(16)9-14(15,3)4/h5-8,19H,9H2,1-4H3,(H,17,18)/b6-5+,10-7-/t15-/m1/s1"
"(+)-abscisic acid","CHEBI:2365","2.A.17.3.23","InChI=1S/C15H20O4/c1-10(7-13(17)18)5-6-15(19)11(2)8-12(16)9-14(15,3)4/h5-8,19H,9H2,1-4H3,(H,17,18)/b6-5+,10-7-/t15-/m1/s1"
"(+)-abscisic acid","CHEBI:2365","3.A.1.204.28","InChI=1S/C15H20O4/c1-10(7-13(17)18)5-6-15(19)11(2)8-12(16)9-14(15,3)4/h5-8,19H,9H2,1-4H3,(H,17,18)/b6-5+,10-7-/t15-/m1/s1"
"(+)-abscisic acid","CHEBI:2365","3.A.1.205.10","InChI=1S/C15H20O4/c1-10(7-13(17)18)5-6-15(19)11(2)8-12(16)9-14(15,3)4/h5-8,19H,9H2,1-4H3,(H,17,18)/b6-5+,10-7-/t15-/m1/s1"
"(+)-artemisinin","CHEBI:8718","3.A.1.201.4","InChI=1S/C15H22O5/c1-8-4-5-11-9(2)12(16)17-13-15(11)10(8)6-7-14(3,18-13)19-20-15/h8-11,13H,4-7H2,1-3H3/t8-,9-,10+,11+,13-,14-,15-/m1/s1"
"(+)-medicarpin","CHEBI:6714","3.A.1.204.42","InChI=1S/C16H14O4/c1-18-10-3-5-11-13-8-19-14-6-9(17)2-4-12(14)16(13)20-15(11)7-10/h2-7,13,16-17H,8H2,1H3/t13-,16-/m1/s1"
"(1->4)-beta-D-glucan","CHEBI:3529","4.D.3.1.6","InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6-/m1/s1"
"(1->4)-beta-D-glucan","CHEBI:3529","4.D.3.1.14","InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6-/m1/s1"
