"TCNumber","ChEBI","Substrate"
"1.A.4.5.14","CHEBI:9175","sodium(1+)"
"1.A.4.5.14","CHEBI:8345","potassium(1+)"
"1.A.4.5.14","CHEBI:60270","caesium ion"
"2.A.56.1.4","CHEBI:9406","taurine"
"2.A.5.1.9","CHEBI:10113","zinc(2+)"
"1.C.110.1.2","CHEBI:25367","molecule"
"1.B.14.16.10","CHEBI:6494","lipopolysaccharide"
"5.A.1.6.2","CHEBI:10545","electron"
"2.A.1.2.96","CHEBI:10113","zinc(2+)"
"2.A.1.2.96","CHEBI:29105","zinc(2+)"
"1.A.1.2.24","CHEBI:29103","potassium(1+)"
"2.A.113.1.14","CHEBI:25517","nickel(2+)"
"1.B.25.1.22","CHEBI:25367","molecule"
"2.A.21.6.6","CHEBI:9888","urea"
"1.A.114.1.1","CHEBI:3616","chloride"
"1.A.114.1.1","CHEBI:22563","anion"
"1.A.4.9.5","CHEBI:39124","calcium ion"
"2.A.30.1.2","CHEBI:26710","sodium chloride"
"2.A.30.1.2","CHEBI:32588","potassium chloride"
"9.A.24.1.17","CHEBI:17549","5-aminolevulinic acid"
"2.A.66.2.16","CHEBI:61650","[3)-beta-D-galactopyranuronosyl-(1->3)-2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-glucopyranosyl-(1->4)-beta-D-galactopyranurosyl-(1->]n"
"2.D.1.1.5","CHEBI:8137","phosphatidyl-L-serine"
"2.A.53.1.3","CHEBI:9335","sulfate"
"2.A.53.1.3","CHEBI:6967","molybdate"
"2.A.7.10.2","CHEBI:16082","UDP-alpha-D-xylose"
"2.A.7.10.2","CHEBI:9823","UDP-N-acetyl-alpha-D-glucosamine"
"2.A.69.3.4","CHEBI:38083","malonate ester"
"1.B.3.1.6","CHEBI:25367","molecule"
"2.A.36.4.1","CHEBI:9175","sodium(1+)"
"2.A.36.4.1","CHEBI:8345","potassium(1+)"
"2.A.36.4.1","CHEBI:5584","hydron"
"2.A.1.19.5","CHEBI:30143","lithium(1+)"
"2.A.1.19.5","CHEBI:9175","sodium(1+)"
"2.A.1.19.5","CHEBI:8345","potassium(1+)"
"2.A.1.19.5","CHEBI:49847","rubidium(1+)"
"2.A.1.19.5","CHEBI:33126","caesium(1+)"
"2.A.1.19.5","CHEBI:7719","ochratoxin A"
"2.A.1.19.5","CHEBI:31941","oxaliplatin"
"2.A.1.19.5","CHEBI:3722","cisplatin"
"1.C.97.3.6","CHEBI:25367","molecule"
"2.A.3.8.5","CHEBI:29987","glutamate(2-)"
"2.A.3.8.5","CHEBI:4052","cystine"
"2.A.3.8.18","CHEBI:29987","glutamate(2-)"
"2.A.3.8.18","CHEBI:4052","cystine"
"1.A.77.3.14","CHEBI:3473","cation"
"9.B.198.2.7","CHEBI:8137","phosphatidyl-L-serine"
"9.B.198.2.7","CHEBI:16247","phospholipid"
"9.B.198.2.7","CHEBI:3659","cholesterol"
"3.A.1.201.22","CHEBI:2496","doxorubicin"
"2.A.23.1.1","CHEBI:29987","glutamate(2-)"
"2.A.23.1.1","CHEBI:29995","aspartate(2-)"
"2.A.106.2.5","CHEBI:29108","calcium(2+)"
"2.A.3.8.10","CHEBI:5733","histidine"
"2.A.3.8.10","CHEBI:8089","phenylalanine"
"2.A.3.8.10","CHEBI:9769","tryptophan"
"2.A.3.8.10","CHEBI:9800","tyrosine"
"9.A.14.1.10","CHEBI:8150","phospholipid"
"1.S.1.1.1","CHEBI:8469","propane-1,2-diol"
"1.A.8.17.2","CHEBI:5585","water"
"2.A.18.10.1","CHEBI:2642","alpha-amino acid"
"2.A.1.32.2","CHEBI:31432","corynebactin"
