"Substrate","ChEBI","TCNumber","InChI"
"(ribonucleotide)n+m","CHEBI:8755","1.I.1.1.2",NA
"(ribonucleotide)n+m","CHEBI:8755","1.A.120.1.1",NA
"(ribonucleotide)n+m","CHEBI:8755","3.A.22.1.1",NA
"(ribonucleotide)n+m","CHEBI:8755","1.A.120.1.2",NA
"(ribonucleotide)n+m","CHEBI:8755","1.I.1.1.5",NA
"(ribonucleotide)n+m","CHEBI:8755","1.G.3.1.6",NA
"(ribonucleotide)n+m","CHEBI:8755","1.A.120.1.3",NA
"(ribonucleotide)n+m","CHEBI:8755","1.I.1.1.4",NA
"(S)-2-halocarboxylic acid","CHEBI:377","2.A.1.6.11",NA
"[3)-beta-D-galactopyranuronosyl-(1->3)-2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-glucopyranosyl-(1->4)-beta-D-galactopyranurosyl-(1->]n","CHEBI:61650","9.B.14.1.27",NA
"[3)-beta-D-galactopyranuronosyl-(1->3)-2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-glucopyranosyl-(1->4)-beta-D-galactopyranurosyl-(1->]n","CHEBI:61650","2.A.66.2.5",NA
"[3)-beta-D-galactopyranuronosyl-(1->3)-2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-glucopyranosyl-(1->4)-beta-D-galactopyranurosyl-(1->]n","CHEBI:61650","2.A.66.2.16",NA
"[3)-beta-D-galactopyranuronosyl-(1->3)-2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-glucopyranosyl-(1->4)-beta-D-galactopyranurosyl-(1->]n","CHEBI:61650","9.A.41.1.1",NA
"[3)-beta-D-galactopyranuronosyl-(1->3)-2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-glucopyranosyl-(1->4)-beta-D-galactopyranurosyl-(1->]n","CHEBI:61650","1.B.18.2.4",NA
"[3)-beta-D-galactopyranuronosyl-(1->3)-2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-glucopyranosyl-(1->4)-beta-D-galactopyranurosyl-(1->]n","CHEBI:61650","3.A.1.101.1",NA
"[3)-beta-D-galactopyranuronosyl-(1->3)-2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-glucopyranosyl-(1->4)-beta-D-galactopyranurosyl-(1->]n","CHEBI:61650","9.A.41.1.2",NA
"[3)-beta-D-galactopyranuronosyl-(1->3)-2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-glucopyranosyl-(1->4)-beta-D-galactopyranurosyl-(1->]n","CHEBI:61650","1.B.18.3.8",NA
"[3)-beta-D-galactopyranuronosyl-(1->3)-2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-glucopyranosyl-(1->4)-beta-D-galactopyranurosyl-(1->]n","CHEBI:61650","1.B.73.1.1",NA
"[3)-beta-D-galactopyranuronosyl-(1->3)-2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-glucopyranosyl-(1->4)-beta-D-galactopyranurosyl-(1->]n","CHEBI:61650","9.A.41.1.3",NA
"1-acyl-sn-glycerol 3-phosphate","CHEBI:16975","9.B.105.3.2",NA
"1-O-acylglycerophosphoethanolamine","CHEBI:55493","2.A.1.42.1",NA
"1,2-diacyl-3-O-(beta-D-Glc-(1->6)-beta-D-Glc)-sn-glycerol","CHEBI:76264","2.A.1.2.44",NA
"1,2-diacyl-sn-glycero-3-phosphocholine(1+)","CHEBI:8128","8.A.120.1.2",NA
"1,2-diacyl-sn-glycero-3-phosphocholine(1+)","CHEBI:8128","3.A.3.8.26",NA
"1,2-diacyl-sn-glycero-3-phosphocholine(1+)","CHEBI:8128","3.A.1.204.5",NA
"1,2-diacyl-sn-glycero-3-phosphocholine(1+)","CHEBI:8128","8.A.120.1.1",NA
"1,2-diacyl-sn-glycero-3-phosphocholine(1+)","CHEBI:8128","3.A.3.8.4",NA
"1,2-diacyl-sn-glycero-3-phosphocholine(1+)","CHEBI:8128","3.A.1.201.3",NA
"1,2-diacyl-sn-glycero-3-phosphocholine(1+)","CHEBI:8128","3.A.3.8.19",NA
"1,2-diacyl-sn-glycero-3-phosphocholine(1+)","CHEBI:8128","3.A.1.204.6",NA
"1,2-diacyl-sn-glycero-3-phosphocholine(1+)","CHEBI:8128","3.A.1.211.5",NA
"1,2-diacyl-sn-glycero-3-phosphocholine(1+)","CHEBI:8128","3.A.3.8.5",NA
"1,2-diacylglycerol 3-diphosphate","CHEBI:52643","9.B.105.3.2",NA
"2'-deoxyribonucleoside","CHEBI:4421","4.B.1.1.6",NA
"2'-deoxyribonucleoside","CHEBI:4421","2.A.57.1.17",NA
"2-aminopurines","CHEBI:20702","2.A.40.7.5",NA
"2-deoxy-D-glucose","CHEBI:15866","4.A.6.1.27",NA
